,Name,k_c,k_c_se,c_par,c_par__se,k_t,k_t_se,k_tw,k_tw_se,c_per,c_per__se,k_c_h,k_c_h_se,k_t_h,k_t_h_se
0,dlpc,8.216959526456314e-20,5.010963593320349e-21,0.011893794734072453,0.002547089347884953,5.492911655507967e-20,1.0240107897937677e-20,1.1007076386611873e-20,2.7629673659300513e-20,0.005000953143599698,0.007852571553672121,8.783118377339075e-20,1.4900409610514545e-20,5.092867527057339e-20,6.145968373993914e-21
1,popg,9.719680869324056e-20,7.724442439525424e-21,0.017221682908425306,0.0021509078455535465,4.7210962310194274e-20,6.336670424213665e-21,1.0659799656472703e-20,1.466330352833305e-20,0.005000000000000197,0.006994022688529034,7.808681683730152e-20,1.877107099084214e-20,8.931523313748173e-20,5.2808351083060714e-20
2,pdpc,8.807335661062233e-20,2.2155917197603665e-21,0.01625478895396018,0.0011836560082041764,1.1593328127748856e-19,2.4691374331027324e-20,1.1233846848509153e-19,1.4057381121325154e-19,0.05341104539305974,0.005930590958188216,8.327327297699139e-20,6.0047922021391246e-21,8.397983455013013e-20,4.1222441339002183e-20
3,psm,3.0301685633961974e-19,2.2410939174029592e-20,0.006875804862549208,0.0006111627491652685,3.756959066023996e-20,4.245405492410557e-21,1.6036073539715837e-19,5.747538755105395e-20,0.028962839489321122,0.005234337130047342,2.0030802101267902e-19,2.7787872186558567e-18,7.967313363951664e-20,2.583158211884137e-19
4,sdpe,9.961342957563172e-20,7.31120860019776e-21,0.008594817708149516,0.0023862075149844067,8.922434807176019e-20,2.192723077401776e-20,5.468579416149726e-20,5.0656434011077506e-20,0.02405831462756866,0.008763898456440123,1.0262252807703506e-19,1.5549279885849623e-20,6.395237324146432e-20,3.3058728090030935e-20
5,pope,1.2608322468513095e-19,1.0090240088958392e-20,0.005181470803901142,0.0011346764968081329,7.340414054164992e-20,1.0248596099850479e-20,2.8300438192788915e-20,3.0302010969461165e-20,0.005001874072125081,0.007003511671665068,1.2420132991616565e-19,1.3440657727257765e-20,6.36180860507372e-20,7.61234606117506e-21
6,dopc,1.1965751103380952e-19,5.403552283562842e-21,0.019611398228769464,0.0010050542306012245,5.553072830191093e-20,5.988571845093199e-19,9.890256098855033e-21,3.245661897751678e-20,0.005000000000008616,0.006603615853868694,1.1237875299062186e-19,7.945388643017235e-21,8.221431925836647e-20,9.946932067149398e-21
7,pdpe,9.124235048493727e-20,1.4077582944446945e-20,0.009134049804816954,0.003365248714790694,9.378174195013009e-20,1.6924916614587393e-20,5.747723416338995e-20,2.784237905822031e-20,0.02495201963025477,0.006463873732877814,7.427030790402931e-20,1.0031614781403579e-20,1.1162307577353042e-19,2.5103282690229415e-20
8,dppc,1.4331227059360504e-19,4.817172239902711e-21,0.01181756576650133,0.0007424072252761868,4.001541880405951e-20,3.235322687454667e-21,1.8791692474691665e-20,3.695569623878084e-20,0.005002428258951516,0.006937232947341291,1.3185164717879736e-19,1.8975163828128574e-20,4.6517903557402604e-20,4.930269518040799e-21
9,dmpc,1.0841947208618884e-19,7.854346333845831e-21,0.007746219172679745,0.002056241300729228,3.3803052770726195e-20,7.430357459443328e-21,2.4033488319377172e-20,4.2086485748193843e-20,0.006263888526431761,0.013993683568189478,7.909038439984661e-20,2.166175354862912e-20,7.62290220697846e-20,1.8274781206964834e-19
10,popc,1.3955446387011867e-19,6.086783131384933e-21,0.017092819767129997,0.0009193708427645959,7.27172794838175e-20,1.793900013403495e-20,6.305701043011829e-20,5.006706227373084e-15,0.040929540596125205,0.009430062375998482,9.655291154911332e-20,8.927368681444741e-21,9.92197422500855e-20,2.1578162575818573e-18
11,dope,1.166143136139317e-19,5.879407723157673e-21,0.013221862604612453,0.0016284691046450678,7.517661046338719e-20,3.0223496255099383e-20,1.895974079174206e-20,7.558302369473433e-19,0.005019338418421752,0.005172151780600943,1.1478828168632732e-19,1.0727877315379933e-20,7.861485032369324e-20,1.5553137501312596e-19
